name,version,license
defuse/php-encryption,v2.2.1,MIT
ezyang/htmlpurifier,v4.13.0,LGPL-2.1-or-later
firebase/php-jwt,v3.0.0,BSD-3-Clause
hkvstore/phpthumb,v2.1.5,MIT
mobiledetect/mobiledetectlib,2.8.37,MIT
nikic/fast-route,v1.3.0,BSD-3-Clause
paragonie/random_compat,v9.99.100,MIT
phpmailer/phpmailer,v6.0.7,LGPL-2.1
pimple/pimple,v3.4.0,MIT
psr/container,1.1.1,MIT
psr/http-message,1.0.1,MIT
psr/log,1.1.4,MIT
slim/http-cache,0.4.0,MIT
slim/slim,3.12.3,MIT
soundasleep/html2text,0.5.0,EPL-1.0
tuupola/slim-jwt-auth,2.3.0,MIT
adminLTE,3.1.0,MIT
bootstrap4,4.1.3,MIT
colorbox,1.6.4,MIT
jquery,3.4.1,MIT
moment,2.29.1,MIT
slimScroll,1.3.8,MIT
font-awesome,4.7.0,MIT
